time_s,torsion_a_v,torsion_b_v
-2.999999999999999889e-02,3.520000000000000018e+00,3.768000000000000238e+00
-2.994999999999999746e-02,3.620000000000000107e+00,3.847999999999999865e+00
-2.989999999999999949e-02,3.600000000000000089e+00,3.824000000000000288e+00
-2.984999999999999806e-02,3.540000000000000036e+00,3.788000000000000256e+00
-2.980000000000000010e-02,3.540000000000000036e+00,3.828000000000000291e+00
-2.974999999999999867e-02,3.600000000000000089e+00,3.792000000000000259e+00
-2.969999999999999724e-02,3.520000000000000018e+00,3.780000000000000249e+00
-2.964999999999999927e-02,3.680000000000000160e+00,3.836000000000000298e+00
-2.959999999999999784e-02,3.700000000000000178e+00,3.808000000000000274e+00
-2.954999999999999988e-02,3.640000000000000124e+00,3.843999999999999861e+00
-2.949999999999999845e-02,3.700000000000000178e+00,3.851999999999999869e+00
-2.945000000000000048e-02,3.660000000000000142e+00,3.808000000000000274e+00
-2.939999999999999905e-02,3.700000000000000178e+00,3.816000000000000281e+00
-2.934999999999999762e-02,3.660000000000000142e+00,3.859999999999999876e+00
-2.929999999999999966e-02,3.660000000000000142e+00,3.816000000000000281e+00
-2.924999999999999822e-02,3.700000000000000178e+00,3.859999999999999876e+00
-2.920000000000000026e-02,3.700000000000000178e+00,3.824000000000000288e+00
-2.914999999999999883e-02,3.660000000000000142e+00,3.859999999999999876e+00
-2.909999999999999740e-02,3.660000000000000142e+00,3.816000000000000281e+00
-2.904999999999999943e-02,3.740000000000000213e+00,3.867999999999999883e+00
-2.899999999999999800e-02,3.740000000000000213e+00,3.879999999999999893e+00
-2.895000000000000004e-02,3.660000000000000142e+00,3.812000000000000277e+00
-2.889999999999999861e-02,3.660000000000000142e+00,3.863999999999999879e+00
-2.885000000000000064e-02,3.700000000000000178e+00,3.820000000000000284e+00
-2.879999999999999921e-02,3.660000000000000142e+00,3.859999999999999876e+00
-2.874999999999999778e-02,3.700000000000000178e+00,3.824000000000000288e+00
-2.869999999999999982e-02,3.700000000000000178e+00,3.867999999999999883e+00
-2.864999999999999838e-02,3.200000000000000178e+00,3.784000000000000252e+00
-2.860000000000000042e-02,3.260000000000000231e+00,3.808000000000000274e+00
-2.854999999999999899e-02,3.180000000000000160e+00,3.748000000000000220e+00
-2.849999999999999756e-02,3.220000000000000195e+00,3.784000000000000252e+00
-2.844999999999999959e-02,3.160000000000000142e+00,3.732000000000000206e+00
-2.839999999999999816e-02,3.160000000000000142e+00,3.760000000000000231e+00
-2.835000000000000020e-02,3.200000000000000178e+00,3.720000000000000195e+00
-2.829999999999999877e-02,3.200000000000000178e+00,3.748000000000000220e+00
-2.824999999999999734e-02,3.120000000000000107e+00,3.712000000000000188e+00
-2.819999999999999937e-02,3.120000000000000107e+00,3.744000000000000217e+00
-2.814999999999999794e-02,3.180000000000000160e+00,3.708000000000000185e+00
-2.809999999999999998e-02,3.180000000000000160e+00,3.736000000000000210e+00
-2.804999999999999855e-02,3.100000000000000089e+00,3.676000000000000156e+00
-2.799999999999999711e-02,3.100000000000000089e+00,3.680000000000000160e+00
-2.794999999999999915e-02,3.200000000000000178e+00,3.764000000000000234e+00
-2.789999999999999772e-02,3.120000000000000107e+00,3.728000000000000203e+00
-2.784999999999999976e-02,3.180000000000000160e+00,3.692000000000000171e+00
-2.779999999999999832e-02,3.120000000000000107e+00,3.724000000000000199e+00
-2.774999999999999689e-02,3.180000000000000160e+00,3.696000000000000174e+00
-2.769999999999999893e-02,3.120000000000000107e+00,3.692000000000000171e+00
-2.764999999999999750e-02,3.419999999999999929e+00,3.752000000000000224e+00
-2.759999999999999953e-02,3.379999999999999893e+00,3.728000000000000203e+00
-2.754999999999999810e-02,3.439999999999999947e+00,3.764000000000000234e+00
-2.750000000000000014e-02,3.399999999999999911e+00,3.736000000000000210e+00
-2.744999999999999871e-02,3.459999999999999964e+00,3.772000000000000242e+00
-2.739999999999999727e-02,3.399999999999999911e+00,3.740000000000000213e+00
-2.734999999999999931e-02,3.459999999999999964e+00,3.780000000000000249e+00
-2.729999999999999788e-02,3.399999999999999911e+00,3.744000000000000217e+00
-2.724999999999999992e-02,3.459999999999999964e+00,3.780000000000000249e+00
-2.719999999999999848e-02,3.459999999999999964e+00,3.748000000000000220e+00
-2.715000000000000052e-02,3.399999999999999911e+00,3.784000000000000252e+00
-2.709999999999999909e-02,3.399999999999999911e+00,3.808000000000000274e+00
-2.704999999999999766e-02,3.479999999999999982e+00,3.740000000000000213e+00
-2.699999999999999969e-02,3.479999999999999982e+00,3.740000000000000213e+00
-2.694999999999999826e-02,3.399999999999999911e+00,3.808000000000000274e+00
-2.690000000000000030e-02,3.459999999999999964e+00,3.756000000000000227e+00
-2.684999999999999887e-02,3.399999999999999911e+00,3.792000000000000259e+00
-2.679999999999999744e-02,3.459999999999999964e+00,3.788000000000000256e+00
-2.674999999999999947e-02,3.399999999999999911e+00,3.752000000000000224e+00
-2.669999999999999804e-02,3.459999999999999964e+00,3.788000000000000256e+00
-2.665000000000000008e-02,3.300000000000000266e+00,3.752000000000000224e+00
-2.659999999999999865e-02,3.459999999999999964e+00,3.788000000000000256e+00
-2.654999999999999721e-02,3.399999999999999911e+00,3.756000000000000227e+00
-2.649999999999999925e-02,3.399999999999999911e+00,3.756000000000000227e+00
-2.644999999999999782e-02,3.459999999999999964e+00,3.792000000000000259e+00
-2.639999999999999986e-02,3.459999999999999964e+00,3.756000000000000227e+00
-2.634999999999999842e-02,3.399999999999999911e+00,3.792000000000000259e+00
-2.629999999999999699e-02,3.459999999999999964e+00,3.756000000000000227e+00
-2.624999999999999903e-02,3.399999999999999911e+00,3.788000000000000256e+00
-2.619999999999999760e-02,3.399999999999999911e+00,3.792000000000000259e+00
-2.614999999999999963e-02,3.459999999999999964e+00,3.756000000000000227e+00
-2.609999999999999820e-02,3.399999999999999911e+00,3.752000000000000224e+00
-2.604999999999999677e-02,3.479999999999999982e+00,3.808000000000000274e+00
-2.599999999999999881e-02,3.399999999999999911e+00,3.808000000000000274e+00
-2.595000000000000084e-02,3.479999999999999982e+00,3.748000000000000220e+00
-2.589999999999999941e-02,3.459999999999999964e+00,3.792000000000000259e+00
-2.584999999999999798e-02,3.399999999999999911e+00,3.756000000000000227e+00
-2.579999999999999655e-02,3.399999999999999911e+00,3.756000000000000227e+00
-2.574999999999999858e-02,3.459999999999999964e+00,3.788000000000000256e+00
-2.570000000000000062e-02,3.399999999999999911e+00,3.756000000000000227e+00
-2.564999999999999919e-02,3.560000000000000053e+00,3.804000000000000270e+00
-2.559999999999999776e-02,3.560000000000000053e+00,3.772000000000000242e+00
-2.554999999999999979e-02,3.520000000000000018e+00,3.816000000000000281e+00
-2.549999999999999836e-02,3.600000000000000089e+00,3.816000000000000281e+00
-2.545000000000000040e-02,3.520000000000000018e+00,3.780000000000000249e+00
-2.539999999999999897e-02,3.600000000000000089e+00,3.820000000000000284e+00
-2.534999999999999754e-02,3.520000000000000018e+00,3.776000000000000245e+00
-2.529999999999999957e-02,3.600000000000000089e+00,3.828000000000000291e+00
-2.524999999999999814e-02,3.540000000000000036e+00,3.780000000000000249e+00
-2.520000000000000018e-02,3.600000000000000089e+00,3.780000000000000249e+00
-2.514999999999999875e-02,3.520000000000000018e+00,3.824000000000000288e+00
-2.509999999999999731e-02,3.600000000000000089e+00,3.824000000000000288e+00
-2.504999999999999935e-02,3.520000000000000018e+00,3.768000000000000238e+00
-2.499999999999999792e-02,3.520000000000000018e+00,3.768000000000000238e+00
-2.494999999999999996e-02,3.600000000000000089e+00,3.832000000000000295e+00
-2.489999999999999852e-02,3.600000000000000089e+00,3.784000000000000252e+00
