dds,freq_cmd,vpp,vrms,freq_meas
A,1000,0.66,0.3284055,966.1836
A,2000,0.66,0.318212,2016.129
A,3000,0.66,0.3324315,3012.048
A,4000,0.62,0.3333448,3968.254
A,5000,0.62,0.3274529,5050.505
A,6000,0.64,0.3306091,5952.381
A,7000,0.62,0.3355064,7246.376
A,8000,0.62,0.3262009,8064.516
A,9000,0.62,0.3264043,9090.909
A,10000,0.62,0.319522,10101.01
A,12000,0.62,0.3192864,11904.76
A,15000,0.62,0.3192356,14705.88
A,20000,0.56,0.3108678,20833.33
A,30000,0.54,0.3068619,31250.0
A,50000,0.42,0.2897352,50000.0
B,1000,nan,0.3398952,nan
B,2000,0.2,0.3420502,nan
B,3000,0.2,0.3431859,nan
B,4000,0.22,0.3427876,nan
B,5000,0.44,0.3598406,55555.55
B,6000,0.14,0.3401003,nan
B,7000,0.32,0.3471566,nan
B,8000,0.68,0.3956684,8196.722
B,9000,0.32,0.3495783,nan
B,10000,0.56,0.3698739,35714.29
B,12000,0.44,0.3608982,62500.0
B,15000,0.64,0.3865212,14705.88
B,20000,0.64,0.3814486,20000.0
B,30000,0.16,0.3405956,nan
B,50000,0.26,0.3434407,12820.51
