trial,block,pair_id,stratum,ratio,f1,f2,phase_offset,timebase_s,vpp_ch1,vrms_ch1,vpp_ch2,vrms_ch2,vpp_ch3,vrms_ch3,rsp_db,crest_factor,spectral_flatness,envelope_regularity,xcorr_peak,phase_coherence,wf_points,sample_rate,timestamp
1,1,PP8,PP,11:3,9574.3,2611.2,0.0,0.0001,0.576,0.3839178,0.152,0.347852,0.304,0.3560991,-32.9574,1.3932,0.002717,0.2637,0.9093,0.8603,1200,1000000.0,2026-09-18T17:55:49.099976
2,1,PP8,PP,11:3,9574.3,2611.2,45.0,0.0001,0.56,0.5356585,nan,nan,nan,nan,-35.6239,1.0747,0.004435,0.0718,0.9403,0.9303,1200,1000000.0,2026-09-18T17:55:57.116482
3,1,PP8,PP,11:3,9574.3,2611.2,90.0,0.0001,0.576,0.3872837,0.152,0.348891,0.304,0.3584676,-28.6109,1.3836,0.008449,0.2615,0.9122,0.8623,1200,1000000.0,2026-09-18T17:56:05.299078
4,1,PP8,PP,11:3,9574.3,2611.2,135.0,0.0001,0.576,0.383773,0.152,0.3480277,0.312,0.3560065,-32.7355,1.416,0.00281,0.2605,0.9099,0.8631,1200,1000000.0,2026-09-18T17:56:13.735388
5,1,PP8,PP,11:3,9574.3,2611.2,180.0,0.0001,0.632,0.3886259,0.664,0.3979449,0.592,0.3754553,-33.0193,1.7055,0.001404,0.3174,0.8395,0.7532,1200,1000000.0,2026-09-18T17:56:21.809649
6,1,PP8,PP,11:3,9574.3,2611.2,225.0,0.0001,0.632,0.3842865,0.6720001,0.3895146,0.608,0.3687972,-31.2753,1.7589,0.002365,0.3484,0.8347,0.7567,1200,1000000.0,2026-09-18T17:56:29.925947
7,1,PP8,PP,11:3,9574.3,2611.2,270.0,0.0001,0.576,0.3945065,0.152,0.3498673,0.312,0.3628113,-30.0664,1.3891,0.006583,0.2548,0.9153,0.8669,1200,1000000.0,2026-09-18T17:56:38.364728
8,1,PP8,PP,11:3,9574.3,2611.2,315.0,0.0001,0.632,0.3840881,0.656,0.3862356,0.592,0.3653212,-30.2304,1.7503,0.003265,0.3286,0.8189,0.7341,1200,1000000.0,2026-09-18T17:56:46.838895
9,1,CC8,CC,49:32,6187.2,4040.6,0.0,0.0002,0.584,0.3885748,0.152,0.3486285,0.32,0.3588238,-33.3693,1.4029,0.001746,0.2618,0.9114,0.8572,1200,500000.0,2026-09-18T17:56:55.535305
10,1,CC8,CC,49:32,6187.2,4040.6,45.0,0.0002,0.608,0.3902868,0.448,0.3695899,0.48,0.3639669,-18.4536,1.6026,0.002301,0.2631,0.862,0.7967,1200,500000.0,2026-09-18T17:57:04.021216
11,1,CC8,CC,49:32,6187.2,4040.6,90.0,0.0002,0.584,0.3943278,0.152,0.3495202,0.32,0.3623012,-32.7709,1.3923,0.003241,0.2567,0.913,0.8593,1200,500000.0,2026-09-18T17:57:12.412947
12,1,CC8,CC,49:32,6187.2,4040.6,135.0,0.0002,0.584,0.3908925,0.16,0.3487681,0.32,0.3598438,-32.4884,1.3998,0.003409,0.2639,0.9113,0.856,1200,500000.0,2026-09-18T17:57:20.982300
13,1,CC8,CC,49:32,6187.2,4040.6,180.0,0.0002,0.584,0.3931899,0.248,0.3557655,0.352,0.361945,-25.1729,1.437,0.009699,0.2712,0.8909,0.8342,1200,500000.0,2026-09-18T17:57:29.093134
