trial,block,pair_id,stratum,ratio,f1,f2,phase_offset,vpp_ch1,vrms_ch1,vpp_ch2,vrms_ch2,vpp_ch3,vrms_ch3,timestamp
1,1,PP3,PP,7:5,5916.1,4225.8,0.0,nan,nan,nan,nan,nan,nan,2026-09-18T15:22:47.159999
2,1,PP3,PP,7:5,5916.1,4225.8,45.0,0.648,0.4414171,0.664,0.4315629,0.592,0.4051216,2026-09-18T15:22:52.127949
3,1,PP3,PP,7:5,5916.1,4225.8,90.0,0.656,0.4425683,0.68,0.4429056,0.608,0.4143392,2026-09-18T15:22:57.393957
4,1,PP3,PP,7:5,5916.1,4225.8,135.0,nan,nan,nan,nan,nan,nan,2026-09-18T15:23:02.721766
5,1,PP3,PP,7:5,5916.1,4225.8,180.0,0.584,0.4377961,0.16,0.3511617,0.32,0.3794657,2026-09-18T15:23:07.972087
6,1,PP3,PP,7:5,5916.1,4225.8,225.0,0.584,0.4375963,0.16,0.3508863,0.32,0.3792354,2026-09-18T15:23:13.418303
7,1,PP3,PP,7:5,5916.1,4225.8,270.0,0.664,0.442381,0.68,0.4427943,0.608,0.4143016,2026-09-18T15:23:18.764253
8,1,PP3,PP,7:5,5916.1,4225.8,315.0,0.584,0.4376943,0.168,0.351764,0.32,0.3795486,2026-09-18T15:23:24.265316
9,1,PC2,PC,11:8,5863.0,4264.0,0.0,nan,nan,nan,nan,nan,nan,2026-09-18T15:23:29.373475
10,1,PC2,PC,11:8,5863.0,4264.0,45.0,0.648,0.4422162,0.68,0.4426114,0.608,0.4133722,2026-09-18T15:23:34.528440
11,1,PC2,PC,11:8,5863.0,4264.0,90.0,0.584,0.4379087,0.168,0.3510646,0.32,0.3795222,2026-09-18T15:23:39.746500
12,1,PC2,PC,11:8,5863.0,4264.0,135.0,nan,nan,nan,nan,nan,nan,2026-09-18T15:23:44.839553
13,1,PC2,PC,11:8,5863.0,4264.0,180.0,0.592,0.4387715,0.328,0.3713918,0.4,0.3956672,2026-09-18T15:23:50.160650
14,1,PC2,PC,11:8,5863.0,4264.0,225.0,0.592,0.4376929,0.176,0.3523826,0.32,0.3792788,2026-09-18T15:23:55.254394
15,1,PC2,PC,11:8,5863.0,4264.0,270.0,0.656,0.4421621,0.68,0.4435326,0.608,0.4135728,2026-09-18T15:24:00.514780
16,1,PC2,PC,11:8,5863.0,4264.0,315.0,nan,nan,nan,nan,nan,nan,2026-09-18T15:24:05.740470
17,1,PC4,PC,7:4,6614.4,3779.6,0.0,0.592,0.4023201,0.16,0.06495401,0.32,0.2313414,2026-09-18T15:24:11.124180
